"Team","Inn","rSZ","rCERA","rSB","rGDP","rARM","rGFP","rPM","rTS","DRS","ARM","DPR","RngR","ErrR","UZR","UZR/150","FRM","OAA","RAA","Def"
"Brewers","264549.0","196","-5","-18","-30","-46","4","98","34","154","-42.3","-31.3","197.2","-158.5","-34.9","-0.8","246.2","28","27","501.5"
"Devil Rays","264663.0","61","-5","-4","11","91","-4","41","41","208","56.0","-21.4","439.4","-104.8","369.2","2.9","39.3","18","29","343.3"
"Cubs","264978.0","-40","4","3","-12","-13","-61","210","22","55","1.7","14.7","351.9","-26.9","341.4","2.3","-71.3","114","83","327.4"
"Giants","265647.0","92","-1","1","-32","-76","-32","55","34","57","-70.6","-27.7","380.7","43.8","326.2","1.3","123.7","12","0","283.9"
"Angels","264957.0","46","-2","0","39","-14","69","-72","35","70","32.9","18.2","229.7","36.2","317.0","2.4","19.5","-29","-25","234.8"
"Mariners","264954.0","-28","-21","12","48","-12","-28","1","32","1","-37.6","60.5","122.2","17.7","162.8","1.0","-128.8","-15","-10","228.2"
"Dodgers","266151.0","64","25","16","-48","-20","11","299","50","413","-10.8","-15.3","71.4","-49.4","-4.1","-0.2","117.5","-41","-30","217.3"
"Cardinals","264999.0","-1","20","42","21","-25","67","412","18","669","-26.7","47.7","36.8","41.7","99.4","0.5","100.9","63","50","216.8"
"Braves","265434.0","100","5","-12","3","25","-42","362","37","415","63.9","14.0","40.2","15.2","133.3","1.5","182.4","48","38","209.9"
"Twins","264882.0","-100","5","-33","-7","46","67","-342","30","-271","20.7","-27.1","102.0","0.4","96.0","0.7","-67.2","51","48","174.6"
"Astros","264894.0","49","-1","-15","14","87","112","189","44","436","51.8","-9.4","-44.9","-2.4","-4.9","0.4","70.4","171","141","131.3"
"Royals","263016.0","-130","5","21","24","19","17","-396","25","-363","79.2","-0.6","-24.2","34.4","88.9","1.1","-170.1","58","52","115.3"
"Rangers","263556.0","-60","-14","-4","26","4","-49","-63","17","-156","31.7","-2.6","95.5","-22.8","101.8","0.9","-103.6","39","32","83.3"
"Reds","264888.0","-22","5","7","-40","91","27","-81","18","10","55.8","-25.2","-24.2","12.0","18.4","0.5","39.4","-23","-14","79.1"
"Phillies","265158.0","-77","-3","-6","-6","110","-1","-219","8","-187","58.5","-4.0","-52.0","100.4","102.9","1.2","-43.1","-117","-95","43.6"
"Diamondbacks","265302.0","56","5","-7","-3","-91","-1","360","38","348","-59.4","-19.7","29.0","14.5","-35.5","-0.8","96.9","92","70","6.8"
"Red Sox","265542.0","78","-14","-29","-26","63","30","22","37","61","14.4","-14.8","70.2","71.7","141.6","1.0","47.4","-61","-40","1.2"
"Athletics","265287.0","-67","13","8","13","-35","-27","-79","23","-93","-87.1","-15.5","60.9","11.9","-29.9","-1.0","-97.0","-11","-7","-26.1"
"Indians","264705.0","-20","-11","5","28","34","5","-66","22","10","19.8","24.9","-132.9","18.0","-70.2","-0.2","-80.2","107","78","-83.9"
"Orioles","263772.0","-67","8","5","26","36","56","-277","17","-186","25.6","24.5","-216.3","61.2","-104.9","-0.4","-26.8","-131","-108","-107.9"
"Marlins","264108.0","-77","-14","-11","15","20","-72","-227","25","-353","26.1","44.2","-162.6","3.8","-88.4","-0.2","-143.0","7","-2","-124.0"
"Blue Jays","264282.0","41","28","-19","-9","112","24","188","43","340","49.3","-19.3","-149.7","28.6","-91.0","-0.2","62.7","-117","-95","-137.8"
"Expos","264078.0","1","-4","13","-11","62","-46","-188","24","-142","54.8","-9.5","-143.3","-89.2","-187.1","-0.8","-13.8","-82","-65","-169.1"
"Tigers","263091.0","-78","7","3","52","-95","-68","-397","47","-507","-96.8","10.4","-54.2","-6.1","-146.7","-1.6","-184.7","-54","-53","-186.3"
"White Sox","264111.0","-1","8","-17","58","-18","-75","-324","26","-400","-62.7","47.1","-125.9","-44.0","-185.5","-1.5","-9.2","-28","-24","-187.4"
"Padres","265041.0","44","17","-31","-38","-122","-3","261","13","69","-110.9","-35.7","-53.5","71.8","-128.3","-2.0","61.2","-23","-12","-196.6"
"Mets","264756.0","10","-16","-40","-38","41","-21","-121","32","-167","34.3","-16.0","-122.9","-36.3","-140.9","-0.7","-12.7","-86","-68","-199.1"
"Rockies","263034.0","-148","0","10","27","-116","-13","178","21","-5","-28.6","21.6","-286.8","153.8","-139.9","-1.0","-118.9","55","31","-209.3"
"Pirates","263553.0","-8","20","-6","35","-26","-10","-186","31","-163","-35.2","17.2","-283.3","-63.6","-364.8","-2.6","-129.7","-76","-64","-318.8"
"Yankees","264981.0","107","-30","-10","-40","12","-6","-247","25","-281","-8.0","-43.8","-350.6","31.5","-370.8","-2.7","151.6","-58","-42","-484.4"
